entry_idx,direction,pnl_r_v3a,is_winner,mfe_r,mae_r,asset,year
8101,short,-1.189,False,0.2157,6.0794,BTCUSDT,2022
8128,short,-0.1119,False,1.2779,0.6488,BTCUSDT,2022
8433,short,-1.18,False,0.829,2.1852,BTCUSDT,2022
8463,short,3.9611,True,5.1321,2.5079,BTCUSDT,2022
8512,short,-0.4011,False,0.4576,0.7119,BTCUSDT,2022
8533,short,1.6353,True,2.8302,1.5455,BTCUSDT,2022
8599,short,1.921,True,3.3559,2.1606,BTCUSDT,2022
8631,short,-1.3122,False,0.19,3.444,BTCUSDT,2022
64,short,-0.0734,False,1.4551,2.0705,ETHUSDT,2022
368,short,-0.0862,False,1.8513,2.4285,ETHUSDT,2022
543,short,-1.0268,False,2.835,1.4345,ETHUSDT,2022
782,short,0.9757,True,1.1896,0.513,ETHUSDT,2022
946,long,1.4436,True,2.4961,0.3121,ETHUSDT,2022
1047,short,0.9291,True,1.9229,0.0495,ETHUSDT,2022
1672,short,-0.6005,False,0.6359,0.7862,ETHUSDT,2022
1694,short,-1.0699,False,0.4739,1.4638,ETHUSDT,2022
1713,short,-0.0964,False,3.6836,1.1284,ETHUSDT,2022
1905,long,-0.061,False,3.3614,0.7047,ETHUSDT,2022
1959,long,-1.0609,False,1.187,1.7646,ETHUSDT,2022
2023,long,0.1981,True,0.9905,0.684,ETHUSDT,2022
2120,long,-1.0599,False,0.892,1.1195,ETHUSDT,2022
2174,long,0.9315,True,1.4372,0.2233,ETHUSDT,2022
2485,short,-0.0513,False,1.3273,0.2384,ETHUSDT,2022
2535,short,-1.0614,False,0.0792,1.679,ETHUSDT,2022
2774,short,1.6225,True,2.6747,0.5069,ETHUSDT,2022
2798,short,-1.0379,False,0.1209,1.6086,ETHUSDT,2022
2841,short,-0.0614,False,2.4468,0.2255,ETHUSDT,2022
2942,short,-0.074,False,1.9809,1.4274,ETHUSDT,2022
2990,short,1.8617,True,2.1307,0.0062,ETHUSDT,2022
3351,short,-0.2681,False,0.8948,0.6663,ETHUSDT,2022
3466,short,1.2526,True,1.8121,0.7287,ETHUSDT,2022
3830,short,-1.0568,False,1.7353,1.0182,ETHUSDT,2022
3993,short,0.4104,True,1.2028,0.3535,ETHUSDT,2022
4215,short,-1.0371,False,0.1534,3.2902,ETHUSDT,2022
4288,short,1.8113,True,3.2354,0.0358,ETHUSDT,2022
4453,short,-1.0377,False,0.7429,2.8779,ETHUSDT,2022
5053,long,-1.0397,False,0.4777,1.3872,ETHUSDT,2022
5128,long,-1.0355,False,0.4365,1.868,ETHUSDT,2022
5246,long,-0.0704,False,3.3941,0.6804,ETHUSDT,2022
5367,long,2.6097,True,3.6608,0.1944,ETHUSDT,2022
5800,short,-1.0265,False,0.2925,2.6712,ETHUSDT,2022
5846,short,-1.0263,False,0.1121,1.8081,ETHUSDT,2022
6249,short,1.9819,True,4.1771,0.5821,ETHUSDT,2022
6301,short,-1.0442,False,1.1775,1.4721,ETHUSDT,2022
6417,short,1.4212,True,3.1895,0.5531,ETHUSDT,2022
6517,short,-1.0403,False,0.4484,1.8142,ETHUSDT,2022
6974,short,-0.0706,False,1.3615,0.7302,ETHUSDT,2022
7216,long,1.5173,True,2.5582,0.5953,ETHUSDT,2022
7281,long,-1.0357,False,0.3708,1.8647,ETHUSDT,2022
7552,short,-0.337,False,0.2366,0.7838,ETHUSDT,2022
7762,short,2.1546,True,7.0542,0.0378,ETHUSDT,2022
8433,short,-1.0955,False,0.4164,1.6556,ETHUSDT,2022
8464,short,1.2356,True,2.3259,4.2439,ETHUSDT,2022
8534,short,-1.0578,False,0.5719,2.5509,ETHUSDT,2022
8578,short,-1.1684,False,0.461,1.7427,ETHUSDT,2022
8631,short,-1.1533,False,0.3463,2.7103,ETHUSDT,2022
199,short,-1.0264,False,0.5308,1.1139,SOLUSDT,2022
226,short,2.6505,True,3.6917,0.026,SOLUSDT,2022
656,short,-1.0224,False,0.8262,1.1744,SOLUSDT,2022
712,short,1.483,True,2.5226,0.3206,SOLUSDT,2022
783,short,-1.0279,False,3.5206,1.7222,SOLUSDT,2022
879,short,-1.0368,False,0.3584,2.5305,SOLUSDT,2022
920,short,-0.028,False,1.2589,0.2371,SOLUSDT,2022
1117,short,-1.0369,False,0.8025,1.6749,SOLUSDT,2022
1360,short,0.9676,True,2.0009,0.6575,SOLUSDT,2022
1600,short,-1.0335,False,0.1643,3.77,SOLUSDT,2022
1714,short,-0.0705,False,3.6697,0.3178,SOLUSDT,2022
1912,short,-1.0429,False,0.3308,2.3914,SOLUSDT,2022
2024,long,-0.0434,False,1.0929,0.7159,SOLUSDT,2022
2167,long,1.5767,True,2.6015,0.9622,SOLUSDT,2022
2264,long,-0.0388,False,1.2651,4.191,SOLUSDT,2022
2391,long,-0.0496,False,1.7989,4.4262,SOLUSDT,2022
2458,short,-1.0368,False,0.8718,2.2075,SOLUSDT,2022
2485,short,0.5494,True,1.5324,0.2266,SOLUSDT,2022
2774,short,-0.0502,False,1.6011,1.6125,SOLUSDT,2022
2822,short,-1.048,False,1.2457,1.4369,SOLUSDT,2022
2913,short,-0.0381,False,1.3643,0.511,SOLUSDT,2022
2941,short,-0.0473,False,1.7116,0.4024,SOLUSDT,2022
2990,short,1.9434,True,3.0702,0.0702,SOLUSDT,2022
3202,short,-1.0137,False,0.9393,1.3138,SOLUSDT,2022
3350,short,-0.022,False,1.2515,0.194,SOLUSDT,2022
3613,short,-1.0284,False,0.6294,1.1119,SOLUSDT,2022
3679,short,1.5915,True,4.4338,0.1237,SOLUSDT,2022
3849,short,1.0141,True,2.1415,0.6509,SOLUSDT,2022
3997,short,-1.0143,False,0.6817,1.1032,SOLUSDT,2022
4287,short,1.0051,True,2.1923,0.1,SOLUSDT,2022
4354,short,-1.0216,False,0.1351,1.4864,SOLUSDT,2022
4520,short,-1.0339,False,0.5001,2.48,SOLUSDT,2022
