symbol,entry_time,direction,entry,sl,tp,outcome,pnl_r,mfe_r,mae_r,duration_h,periodo
ETHUSDT,2022-07-05 13:00:00+00:00,short,1094.41,1120.5371,1029.0923,sl,-1.0,0.743,1.261,5,2022
ETHUSDT,2022-07-30 13:00:00+00:00,long,1725.3,1686.1565,1823.1587,sl,-1.0,0.478,1.03,7,2022
ETHUSDT,2022-08-02 16:00:00+00:00,long,1667.46,1625.19,1773.135,sl,-1.0,0.249,1.078,3,2022
ETHUSDT,2022-08-07 14:00:00+00:00,long,1704.41,1682.628,1758.8649,tp,2.5,3.333,0.68,18,2022
ETHUSDT,2022-08-12 15:00:00+00:00,long,1896.6,1863.1646,1980.1886,tp,2.5,3.076,0.194,12,2022
ETHUSDT,2022-08-30 16:00:00+00:00,short,1486.66,1537.06,1360.66,sl,-1.0,0.292,1.606,3,2022
ETHUSDT,2022-09-01 14:00:00+00:00,short,1517.22,1569.12,1387.47,sl,-1.0,0.112,1.055,4,2022
ETHUSDT,2022-09-15 10:00:00+00:00,short,1583.5,1629.5327,1468.4182,tp,2.5,2.791,0.352,5,2022
ETHUSDT,2022-09-18 09:00:00+00:00,short,1423.47,1457.74,1337.795,tp,2.5,3.019,0.582,12,2022
ETHUSDT,2022-09-20 13:00:00+00:00,short,1343.22,1370.5823,1274.8142,sl,-1.0,0.322,1.41,2,2022
ETHUSDT,2022-09-25 09:00:00+00:00,short,1322.57,1339.6195,1279.9462,tp,2.5,3.19,0.553,13,2022
ETHUSDT,2022-09-29 13:00:00+00:00,short,1300.27,1329.33,1227.62,sl,-1.0,0.448,1.126,2,2022
ETHUSDT,2022-10-28 16:00:00+00:00,long,1566.68,1532.21,1652.855,tp,2.5,2.558,0.595,18,2022
ETHUSDT,2022-10-31 09:00:00+00:00,long,1619.8,1579.0,1721.8,sl,-1.0,0.371,1.588,4,2022
ETHUSDT,2022-11-20 10:00:00+00:00,short,1196.0,1208.18,1165.55,tp,2.5,3.243,0.038,1,2022
ETHUSDT,2022-12-18 09:00:00+00:00,short,1176.89,1187.9858,1149.1506,sl,-1.0,0.416,1.271,9,2022
ETHUSDT,2022-12-19 16:00:00+00:00,short,1175.26,1186.9803,1145.9594,sl,-1.0,2.326,1.514,9,2022
ETHUSDT,2022-12-22 14:00:00+00:00,short,1192.62,1211.19,1146.195,sl,-1.0,0.572,2.551,6,2022
ETHUSDT,2022-12-24 10:00:00+00:00,short,1217.66,1224.1672,1201.392,sl,-1.0,0.132,1.743,9,2022
ETHUSDT,2022-12-26 15:00:00+00:00,short,1214.64,1221.772,1196.81,sl,-1.0,0.346,2.363,8,2022
ETHUSDT,2023-01-03 15:00:00+00:00,short,1211.4,1218.1896,1194.4261,sl,-1.0,1.23,3.074,10,2023
ETHUSDT,2023-01-08 14:00:00+00:00,long,1265.78,1261.3539,1276.8453,sl,-1.0,3.213,1.094,2,2023
ETHUSDT,2023-01-22 16:00:00+00:00,long,1637.5,1615.5943,1692.2643,sl,-1.0,1.301,1.354,4,2023
ETHUSDT,2023-01-23 09:00:00+00:00,long,1635.5,1617.2195,1681.2011,sl,-1.0,0.275,1.208,4,2023
ETHUSDT,2023-01-31 15:00:00+00:00,long,1588.49,1569.8855,1635.0013,sl,-1.0,0.923,1.324,6,2023
ETHUSDT,2023-02-06 16:00:00+00:00,long,1644.84,1624.8523,1694.8091,sl,-1.0,0.536,2.143,7,2023
ETHUSDT,2023-02-07 10:00:00+00:00,long,1642.03,1626.2264,1681.5389,sl,-1.0,0.297,1.012,5,2023
ETHUSDT,2023-02-24 08:00:00+00:00,long,1653.34,1635.034,1699.105,sl,-1.0,0.104,1.237,5,2023
ETHUSDT,2023-02-28 14:00:00+00:00,long,1634.08,1618.8735,1672.0962,sl,-1.0,0.771,2.57,7,2023
ETHUSDT,2023-03-07 10:00:00+00:00,short,1562.91,1572.6306,1538.6086,tp,2.5,4.003,0.968,5,2023
ETHUSDT,2023-03-16 15:00:00+00:00,long,1662.11,1634.9445,1730.0238,tp,2.5,3.232,0.402,19,2023
ETHUSDT,2023-03-19 15:00:00+00:00,long,1792.79,1766.5057,1858.5007,sl,-1.0,1.871,1.112,9,2023
