asset,year,role,session,distance,activation,be,candidate,evidence,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be_exits,reason_stop,reason_timeout
ETHUSDT,2022,candidate,dcv1_activo_15h,1.0,2.0,1.5,1.0 | 2.0 | 1.5,replica,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.142,41.1,0.074,1.45,-0.887,7.92,-3.96,9.0,0,78,29
ETHUSDT,2022,candidate,dcv1_activo_15h,1.0,2.5,0.5,1.0 | 2.5 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.02,21.5,0.008,1.872,-0.502,0.86,-6.0,9.0,0,93,14
ETHUSDT,2022,candidate,dcv1_activo_15h,1.0,2.5,1.0,1.0 | 2.5 | 1.0,replica,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,0.974,32.7,-0.013,1.487,-0.742,-1.38,-6.76,9.0,0,80,27
ETHUSDT,2022,candidate,dcv1_activo_15h,1.0,2.5,1.5,1.0 | 2.5 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.079,39.3,0.041,1.439,-0.862,4.4,-4.16,9.0,0,74,33
ETHUSDT,2022,candidate,dcv1_activo_15h,1.5,1.5,0.5,1.5 | 1.5 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.126,28.0,0.049,1.567,-0.542,5.28,-5.65,9.0,0,93,14
ETHUSDT,2022,candidate,dcv1_activo_15h,1.5,1.5,1.0,1.5 | 1.5 | 1.0,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.08,42.1,0.039,1.266,-0.851,4.21,-6.06,9.0,0,80,27
ETHUSDT,2022,candidate,dcv1_activo_15h,1.5,1.5,1.5,1.5 | 1.5 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.178,48.6,0.092,1.255,-1.007,9.88,-3.77,9.0,0,74,33
ETHUSDT,2022,candidate,dcv1_activo_15h,1.5,2.0,0.5,1.5 | 2.0 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.133,22.4,0.052,1.99,-0.508,5.61,-5.66,9.0,0,91,16
ETHUSDT,2022,candidate,dcv1_activo_15h,1.5,2.0,1.0,1.5 | 2.0 | 1.0,replica,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.069,34.6,0.035,1.541,-0.762,3.7,-6.42,9.0,0,78,29
ETHUSDT,2022,candidate,dcv1_activo_15h,1.5,2.0,1.5,1.5 | 2.0 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.168,41.1,0.088,1.483,-0.887,9.37,-4.14,9.0,0,72,35
